time,lat,lon,alt,pol,mds,mcg
1478131205740870602,37.16406,13.625396,0,0,6740,231
1478131209227252208,35.022735,13.417872,0,0,5412,258
1478131217987114586,37.13581,13.685473,0,0,12705,240
1478131236008887314,37.101625,13.618645,0,0,13633,225
1478131236030487919,37.188078,13.657785,0,0,14526,236
1478131250702556200,37.221468,13.588519,0,0,9141,236
1478131259565164006,37.101405,13.635637,0,0,13644,237
1478131277028586320,37.225125,13.582287,0,0,8021,165
1478131285579542275,35.047974,13.382651,0,0,6626,228
1478131306326153752,37.136857,13.730392,0,0,7699,192
1478131323948302466,37.080012,13.617831,0,0,11779,204
1478131348809424899,37.163553,13.641948,0,0,7725,231
1478131348822138712,37.130692,13.62562,0,0,14841,208
1478131348832246013,37.300867,13.553668,0,0,9949,229
1478131358003276697,37.241058,13.764516,0,0,9722,267
1478131358288322064,37.093749,13.71203,0,0,8497,169
1478131358332094627,37.210966,13.741998,0,0,6412,260
1478131358607880544,37.289702,13.652196,0,0,3202,246
1478131371030956116,37.080592,13.711151,0,0,4257,257
1478131378361139287,37.272613,13.567211,0,0,7662,246
1478131378372426221,37.152208,13.671658,0,0,8231,221
1478131403236182376,37.125294,13.624175,0,0,6884,211
1478131403255844631,37.059958,13.666503,0,0,9522,254
1478131409771378708,36.96256,13.756018,0,0,9858,241
1478131412824538356,35.01965,13.333236,0,0,5730,251
1478131446530638012,37.154345,13.619861,0,0,8335,253
1478131453349687819,37.343179,13.602125,0,0,13765,245
1478131453380839134,37.106523,13.600345,0,0,2964,243
1478131458880679781,37.061726,13.620793,0,0,6467,219
1478131469048931609,37.149768,13.644781,0,0,5201,269
1478131469406087978,37.241272,13.269333,0,0,14689,267
1478131469441026536,37.096721,13.579595,0,0,9233,237
1478131469760885876,37.275395,13.516691,0,0,4329,246
1478131483897655808,37.063447,13.725238,0,0,11304,204
1478131483957780999,37.135708,13.590523,0,0,8205,231
1478131490770010374,37.162458,13.669128,0,0,12508,189
1478131493428239772,37.226786,13.630834,0,0,7330,241
1478131515771128148,37.115974,13.704046,0,0,5939,256
1478131530537296133,37.133349,13.643421,0,0,10411,251
1478131541204071285,37.159532,13.743019,0,0,14021,240
1478131546086632063,35.028352,13.360341,0,0,11408,238
1478131547151267809,37.110331,13.601298,0,0,13774,207
1478131558767287569,37.125976,13.761914,0,0,7787,243
1478131558875281472,37.10614,13.753081,0,0,6549,161
1478131581679334110,36.705862,13.787407,0,0,3986,256
1478131581684066378,37.059235,13.744514,0,0,6740,203
1478131581703144139,37.143972,13.66284,0,0,11443,240
1478131581900368365,37.148487,13.756583,0,0,11522,203
1478131587467797979,37.201247,13.619362,0,0,7011,236
1478131590488369534,37.153761,13.736879,0,0,14965,206
1478131600427815668,37.059484,13.754102,0,0,8351,207
1478131600445223217,36.948706,13.804918,0,0,11817,245
1478131605514816627,37.227956,13.603516,0,0,4442,241
1478131605861084305,37.20603,13.850135,0,0,5904,237
1478131606466874242,37.175409,13.823875,0,0,11270,241
1478131606506975926,37.141689,13.825022,0,0,6644,128
1478131606544237908,37.180452,13.840731,0,0,5837,241
1478131606580192365,37.231467,13.857638,0,0,3907,237
1478131606737745036,37.154083,13.833627,0,0,10192,224
1478131606776813921,37.200706,13.834678,0,0,12532,188
1478131606800592667,37.572997,13.96109,0,0,10915,255
1478131606991254968,35.087409,13.446116,0,0,5944,228
1478131620352093477,35.159987,13.43516,0,0,7548,259
1478131631760075362,37.120034,13.725024,0,0,10973,257
1478131634169739749,37.356793,13.667048,0,0,7506,261
1478131636741932448,37.117521,13.640099,0,0,11106,254
1478131644649642734,37.133599,13.601444,0,0,12509,243
1478131657753141574,37.018375,13.698894,0,0,8050,205
1478131669200105936,37.118094,13.700617,0,0,13093,203
1478131674322791840,35.081532,13.35248,0,0,10720,224
1478131677971827877,35.035044,13.408272,0,0,10928,228
1478131678053614407,35.097212,13.38371,0,0,10739,257
1478131689033774275,37.104237,13.652012,0,0,7057,227
1478131693893999914,37.164579,13.634116,0,0,7581,237
1478131700336269003,36.987484,13.88174,0,0,10471,227
1478131707785173638,34.894672,13.372515,0,0,12539,242
1478131710374021638,37.08346,13.650911,0,0,12629,238
1478131712654150482,37.137867,13.737304,0,0,9784,253
1478131713042668805,37.115637,13.723017,0,0,5752,230
1478131716087754653,37.159542,13.586622,0,0,6758,211
1478131731848950896,37.148349,13.732796,0,0,12587,206
1478131739345976798,37.132622,13.634007,0,0,12129,240
1478131753593619933,41.976503,11.989345,0,0,6913,124
1478131753823643198,37.100106,13.701358,0,0,12664,204
1478131753845043049,36.838565,13.83236,0,0,13139,247
1478131761033066255,35.022001,13.386761,0,0,6164,228
1478131770658004545,37.105008,13.619951,0,0,6941,254
1478131774085321617,37.173374,13.740245,0,0,6162,242
1478131781444778294,37.464172,13.644474,0,0,3812,253
1478131782875229689,37.06636,13.634785,0,0,13771,204
1478131785435533902,37.184039,13.615204,0,0,4131,229
1478131791797147226,37.133399,13.576224,0,0,5541,240
1478131791904913309,37.422234,13.709586,0,0,11230,258
1478131811086824103,35.125617,13.41922,0,0,13857,227
1478131820170094893,37.208295,13.765292,0,0,12500,219
1478131831837964797,37.097415,13.655798,0,0,6334,253
1478131835227600065,37.162524,13.623553,0,0,4008,239
1478131835556921209,37.261354,13.593244,0,0,8697,236
1478131841564433663,37.107326,13.693401,0,0,9731,203
1478131845299026007,37.251009,13.703057,0,0,8883,236
